season,complete,one_missing,both_missing
2014-15,75.95648912228057,21.417854463615903,2.625656414103526
2015-16,78.48253713368125,20.35327177840225,1.1641910879164994
2016-17,74.47147985640208,22.89589150378939,2.632628639808536
2017-18,71.77107501933489,24.980665119876257,3.248259860788863
2018-19,76.93957811941365,21.63031819806936,1.4301036825169824
2019-20,76.29513343799059,21.62480376766091,2.0800627943485086
2020-21,77.1265189421015,20.76483202287348,2.1086490350250178
2021-22,76.11592271818787,21.585609593604264,2.2984676882078614
2022-23,81.0706787963611,17.459762071378588,1.4695591322603219
2023-24,79.62154294032024,19.068413391557495,1.3100436681222707
