HEIGHT_IN,players,minutes,season
65.0,1,149.22833333333332,2000
70.0,5,5458.8966666666665,2000
71.0,6,10188.298333333332,2000
72.0,6,7787.61,2000
73.0,20,26448.66833333333,2000
74.0,17,24530.961666666662,2000
75.0,22,33925.335,2000
76.0,15,22446.605,2000
77.0,35,51894.615,2000
78.0,23,33351.833333333336,2000
79.0,39,63673.32166666667,2000
80.0,37,51965.64833333333,2000
81.0,49,73975.01333333334,2000
82.0,47,58991.418333333335,2000
83.0,35,48303.41166666667,2000
84.0,23,24668.73833333333,2000
85.0,8,9133.565,2000
86.0,5,5166.176666666666,2000
87.0,2,1908.6366666666668,2000
90.0,1,2002.8666666666663,2000
65.0,1,761.745,2001
70.0,2,3942.595,2001
71.0,8,8625.775,2001
72.0,6,8392.946666666667,2001
73.0,20,31977.54,2001
74.0,20,21552.708333333336,2001
75.0,23,33524.7,2001
76.0,17,23508.353333333333,2001
77.0,38,50469.65833333333,2001
78.0,24,39366.223333333335,2001
79.0,40,67166.21666666666,2001
80.0,36,49494.245,2001
81.0,48,70180.55666666667,2001
82.0,50,52991.165,2001
83.0,42,52834.62333333333,2001
84.0,28,32705.25833333333,2001
85.0,11,11525.043333333331,2001
86.0,5,6200.881666666666,2001
87.0,1,1330.2333333333331,2001
90.0,1,757.2383333333333,2001
65.0,1,1321.535,2002
70.0,3,2932.056666666667,2002
71.0,5,4193.161666666667,2002
72.0,5,7166.131666666666,2002
73.0,17,29542.06166666667,2002
74.0,24,28112.555,2002
75.0,20,29891.066666666666,2002
76.0,20,25603.77333333333,2002
77.0,32,45537.778333333335,2002
78.0,28,41246.995,2002
79.0,42,72300.31,2002
80.0,38,49546.816666666666,2002
81.0,49,71903.60166666667,2002
82.0,50,58263.625,2002
83.0,44,54425.07,2002
84.0,24,28835.448333333334,2002
85.0,10,10166.878333333334,2002
86.0,6,3561.938333333333,2002
87.0,2,3636.975,2002
90.0,2,4110.161666666667,2002
65.0,1,1838.3316666666667,2003
70.0,3,4296.393333333333,2003
71.0,6,4717.363333333334,2003
72.0,8,8185.878333333333,2003
73.0,18,19217.89,2003
74.0,22,29273.685,2003
75.0,26,38800.943333333336,2003
76.0,17,25669.946666666667,2003
77.0,33,46421.5,2003
78.0,26,43907.79,2003
79.0,47,71253.50666666667,2003
80.0,43,42081.98666666666,2003
81.0,54,74279.00166666666,2003
82.0,47,55519.84166666667,2003
83.0,44,60011.88333333333,2003
84.0,27,29880.05833333333,2003
85.0,8,7462.678333333333,2003
86.0,6,4729.666666666667,2003
87.0,1,2543.173333333333,2003
89.0,1,2.75,2003
90.0,2,3464.021666666667,2003
65.0,1,2167.1,2004
69.0,1,17.283333333333335,2004
70.0,4,5461.81,2004
71.0,4,6432.031666666667,2004
72.0,10,12385.23,2004
73.0,19,23009.341666666667,2004
74.0,21,31088.29833333333,2004
75.0,27,36045.155,2004
76.0,20,29864.555,2004
77.0,31,38620.12833333333,2004
78.0,34,49715.445,2004
79.0,47,71401.91666666667,2004
80.0,41,43677.066666666666,2004
81.0,56,73353.135,2004
82.0,51,59394.51,2004
83.0,41,55867.91666666666,2004
84.0,30,34835.306666666664,2004
85.0,9,8710.388333333332,2004
86.0,5,2829.6083333333336,2004
87.0,4,2863.241666666667,2004
89.0,1,7.581666666666667,2004
90.0,2,3340.94,2004
65.0,1,1542.445,2005
69.0,1,1543.6516666666666,2005
70.0,4,3842.42,2005
71.0,4,4177.475,2005
72.0,10,14216.738333333333,2005
73.0,19,24601.09833333333,2005
74.0,20,27449.595,2005
75.0,33,51187.418333333335,2005
76.0,22,32001.27833333333,2005
77.0,27,29983.146666666667,2005
78.0,34,45641.278333333335,2005
79.0,49,73334.47166666666,2005
80.0,36,41981.638333333336,2005
81.0,59,73354.89333333334,2005
82.0,45,53126.27166666667,2005
83.0,41,54301.06,2005
84.0,31,42740.276666666665,2005
85.0,7,7120.256666666666,2005
86.0,5,2827.7066666666665,2005
87.0,2,2494.883333333333,2005
89.0,1,18.066666666666663,2005
90.0,1,1948.96,2005
65.0,1,2031.16,2006
69.0,1,1355.763333333333,2006
70.0,5,3527.795,2006
71.0,4,3721.1366666666663,2006
72.0,10,13988.076666666668,2006
73.0,18,23975.948333333334,2006
74.0,22,28166.805,2006
75.0,35,59185.96,2006
76.0,19,26647.38833333333,2006
77.0,25,30560.705,2006
78.0,35,49905.51666666667,2006
79.0,53,77974.60666666667,2006
80.0,37,44775.551666666666,2006
81.0,58,73704.78333333334,2006
82.0,50,50466.71833333333,2006
83.0,41,49989.755,2006
84.0,29,43870.58666666667,2006
85.0,7,3151.043333333333,2006
86.0,2,1678.2316666666668,2006
87.0,1,2129.7233333333334,2006
90.0,1,1623.72,2006
65.0,1,576.71,2007
69.0,1,1882.84,2007
70.0,5,3384.268333333333,2007
71.0,2,492.995,2007
72.0,11,16222.335,2007
73.0,17,26828.451666666668,2007
74.0,20,23783.845,2007
75.0,34,53714.16666666666,2007
76.0,17,21693.426666666663,2007
77.0,30,34135.48166666667,2007
78.0,37,55555.065,2007
79.0,50,74410.45,2007
80.0,37,54571.07833333333,2007
81.0,54,68941.835,2007
82.0,44,54292.62666666666,2007
83.0,42,44861.87666666666,2007
84.0,32,44375.49833333334,2007
85.0,8,5176.956666666667,2007
86.0,3,673.9066666666666,2007
87.0,1,2221.846666666667,2007
90.0,1,2043.868333333333,2007
69.0,1,2208.57,2008
70.0,2,2537.958333333333,2008
71.0,3,2335.331666666667,2008
72.0,12,16364.463333333331,2008
73.0,13,24667.103333333333,2008
74.0,22,30156.276666666665,2008
75.0,33,55890.74833333334,2008
76.0,17,20196.213333333333,2008
77.0,32,39255.0,2008
78.0,35,48026.4,2008
79.0,47,70624.99,2008
80.0,37,56882.855,2008
81.0,57,66212.15,2008
82.0,43,49302.54833333333,2008
83.0,39,56295.14,2008
84.0,32,32550.66,2008
85.0,9,10170.328333333331,2008
86.0,4,1407.3333333333337,2008
87.0,1,1765.3916666666669,2008
90.0,1,2588.9066666666668,2008
65.0,1,1117.0233333333333,2009
69.0,1,1115.8516666666667,2009
70.0,2,1604.63,2009
71.0,3,3433.7266666666665,2009
72.0,10,16970.623333333333,2009
73.0,14,24700.728333333333,2009
74.0,25,27141.29333333333,2009
75.0,36,54182.17,2009
76.0,15,24781.255,2009
77.0,29,34409.31166666667,2009
78.0,44,61089.013333333336,2009
79.0,43,61754.455,2009
80.0,36,49440.985,2009
81.0,53,76960.81,2009
82.0,39,47659.05833333333,2009
83.0,38,55322.845,2009
84.0,34,34739.831666666665,2009
85.0,7,8341.656666666666,2009
86.0,3,2304.4,2009
87.0,2,2221.813333333333,2009
65.0,1,861.7683333333333,2010
69.0,1,1013.2433333333333,2010
70.0,1,1668.9666666666667,2010
71.0,5,5793.7699999999995,2010
72.0,10,15439.331666666667,2010
73.0,13,20609.27,2010
74.0,18,26362.913333333334,2010
75.0,35,52383.585,2010
76.0,20,29143.583333333332,2010
77.0,28,34575.78333333333,2010
78.0,44,55585.64833333333,2010
79.0,48,62249.33,2010
80.0,38,51565.62,2010
81.0,57,85556.91166666667,2010
82.0,40,47713.42833333334,2010
83.0,41,50241.87333333334,2010
84.0,30,35346.53833333333,2010
85.0,8,7908.551666666667,2010
86.0,3,2752.248333333333,2010
87.0,2,1518.6666666666665,2010
90.0,1,90.51833333333333,2010
65.0,1,110.67833333333333,2011
69.0,2,2847.7633333333333,2011
70.0,2,1150.7866666666666,2011
71.0,5,4443.754999999999,2011
72.0,11,11673.125,2011
73.0,12,15742.744999999999,2011
74.0,28,26176.381666666668,2011
75.0,37,40784.221666666665,2011
76.0,17,21656.855,2011
77.0,35,34359.455,2011
78.0,46,45559.426666666666,2011
79.0,44,50117.38333333333,2011
80.0,43,38384.78166666667,2011
81.0,58,68548.65166666667,2011
82.0,45,40943.37666666666,2011
83.0,41,39982.635,2011
84.0,33,26315.591666666667,2011
85.0,7,3225.8083333333334,2011
86.0,2,2142.898333333333,2011
87.0,1,138.645,2011
69.0,2,4207.71,2012
70.0,1,1712.8333333333333,2012
71.0,5,4579.268333333333,2012
72.0,9,15274.666666666666,2012
73.0,14,16642.483333333334,2012
74.0,30,35943.40666666667,2012
75.0,34,47216.61666666667,2012
76.0,24,35381.46,2012
77.0,30,43878.691666666666,2012
78.0,51,61435.206666666665,2012
79.0,44,57774.955,2012
80.0,37,52587.871666666666,2012
81.0,61,81203.48166666666,2012
82.0,45,45130.29666666667,2012
83.0,41,52209.615,2012
84.0,26,23217.166666666668,2012
85.0,5,7056.746666666667,2012
86.0,2,2590.3333333333335,2012
87.0,1,769.93,2012
69.0,2,3363.3633333333332,2013
70.0,1,1471.3183333333334,2013
71.0,5,6372.676666666667,2013
72.0,11,18252.091666666667,2013
73.0,13,15600.113333333333,2013
74.0,25,33464.621666666666,2013
75.0,42,48592.21333333333,2013
76.0,24,31139.705,2013
77.0,39,50325.29,2013
78.0,43,52980.815,2013
79.0,49,61789.98,2013
80.0,36,50090.525,2013
81.0,60,79668.88833333334,2013
82.0,46,43644.42333333333,2013
83.0,39,57711.205,2013
84.0,30,25268.406666666666,2013
85.0,5,7810.341666666667,2013
86.0,2,3359.54,2013
87.0,1,192.41333333333333,2013
69.0,2,2316.9883333333332,2014
70.0,1,1361.685,2014
71.0,6,7398.738333333334,2014
72.0,14,18012.766666666666,2014
73.0,13,15027.041666666666,2014
74.0,22,31888.26,2014
75.0,43,57220.395000000004,2014
76.0,24,26818.083333333332,2014
77.0,38,46925.26666666666,2014
78.0,50,59844.833333333336,2014
79.0,46,59381.2,2014
80.0,37,55975.433333333334,2014
81.0,61,67641.21166666667,2014
82.0,54,49542.66166666667,2014
83.0,37,50722.471666666665,2014
84.0,28,30286.676666666666,2014
85.0,5,9216.108333333334,2014
86.0,2,2882.9616666666666,2014
89.0,1,2.685,2014
69.0,2,2667.7,2015
70.0,1,1666.9083333333333,2015
71.0,4,4622.91,2015
72.0,13,20069.23,2015
73.0,14,15962.271666666667,2015
74.0,22,32614.17,2015
75.0,41,60052.848333333335,2015
76.0,24,30819.093333333334,2015
77.0,39,52273.29833333333,2015
78.0,53,61418.653333333335,2015
79.0,47,57283.415,2015
80.0,42,59901.598333333335,2015
81.0,58,62479.75666666667,2015
82.0,43,41476.831666666665,2015
83.0,36,45794.361666666664,2015
84.0,24,30591.87,2015
85.0,5,8968.153333333334,2015
86.0,4,5182.276666666667,2015
87.0,2,154.19,2015
88.0,1,507.805,2015
69.0,2,2955.201666666667,2016
70.0,3,1977.9066666666668,2016
71.0,3,3281.0583333333334,2016
72.0,14,19458.275,2016
73.0,13,19837.546666666665,2016
74.0,25,27074.428333333333,2016
75.0,38,54240.955,2016
76.0,31,41656.066666666666,2016
77.0,41,51955.85166666666,2016
78.0,56,68677.55,2016
79.0,42,52112.488333333335,2016
80.0,46,62651.635,2016
81.0,56,56338.71833333333,2016
82.0,42,43342.24833333334,2016
83.0,32,42467.676666666666,2016
84.0,30,32222.841666666667,2016
85.0,6,9492.54,2016
86.0,4,4336.141666666666,2016
87.0,1,27.6,2016
88.0,1,293.27,2016
