PLAYER_ID,HEIGHT_IN
920,81
2062,74
243,77
1425,81
228,81
1502,82
1559,77
1733,81
673,81
275,78
947,72
297,82
1541,77
1889,75
692,82
1950,81
358,79
1712,81
1853,73
924,74
1533,75
193,80
292,81
324,76
952,81
1498,76
213,81
176,83
686,81
1609,81
717,87
1506,82
422,71
1884,75
1112,81
182,81
902,74
448,80
682,77
1517,73
1719,77
1802,84
699,79
85,73
1510,70
2073,80
258,81
216,78
1730,81
1477,79
1743,86
735,84
179,77
1724,75
935,79
1898,82
384,79
1916,83
435,83
76,79
1538,79
891,81
369,74
1497,75
685,83
713,78
164,75
1544,81
201,83
1612,70
1914,74
2036,84
168,79
2084,79
185,82
43,72
363,83
1088,71
359,80
221,79
361,82
1736,78
1894,78
916,82
722,79
724,73
2042,77
1749,76
905,83
2053,85
1800,75
757,70
2061,83
105,78
2082,84
344,71
2091,85
198,82
1504,80
330,82
2032,81
353,73
239,71
1032,79
128,80
764,85
2128,77
133,73
766,77
2052,77
1051,83
209,77
2035,81
1507,77
965,73
400,81
934,82
1760,76
365,82
2046,77
96,82
1904,80
87,86
1901,77
1717,84
690,80
2051,80
923,81
57,78
77,75
1434,83
190,84
1863,65
2109,72
2067,73
224,78
1944,81
2059,80
922,84
1882,81
1023,77
376,84
15,79
727,75
677,80
2057,73
956,83
1065,75
911,83
1915,83
1732,77
280,84
697,77
2123,86
56,76
718,80
248,80
45,80
779,80
299,79
255,80
3,81
21,73
1761,76
323,83
731,86
165,84
2069,83
2045,82
765,75
270,82
458,74
93,77
1134,82
1956,79
2074,83
1521,73
1751,81
2054,86
2063,83
147,80
2048,83
2037,77
469,80
1975,78
1899,80
994,80
1114,78
679,80
2044,84
2078,75
467,76
1891,74
1715,73
1902,83
976,76
1741,82
979,83
2040,82
966,81
711,78
754,78
693,82
2038,85
680,82
317,77
304,73
961,81
271,79
468,77
1886,84
146,78
1908,80
436,81
252,81
1496,82
1509,83
383,77
72,73
1903,79
2030,81
1721,83
236,75
708,83
1563,74
788,84
2039,75
2064,70
977,78
1600,81
703,81
111,80
1885,82
441,79
1919,77
1716,77
913,79
1683,75
84,77
2068,77
1444,81
1924,81
283,74
953,83
919,81
446,77
51,73
990,79
2055,84
1531,82
948,83
53,77
1548,84
95,81
349,75
2058,81
998,82
1110,82
2043,74
672,82
1723,79
1508,81
1897,79
688,77
1722,77
1720,83
714,79
1709,84
2072,78
1913,80
63,80
1565,82
1710,74
2034,80
2130,75
2065,80
1630,84
1960,76
782,77
42,80
983,73
2050,79
1737,82
98,78
89,73
1918,81
178,82
970,81
901,82
136,83
1727,81
121,84
2101,76
1718,79
978,82
2143,76
461,80
2047,78
1900,79
1711,83
1747,74
1952,77
753,74
988,76
1740,82
739,83
1725,84
951,77
397,79
1073,79
1888,79
1594,76
296,79
1729,79
109,82
123,74
1714,80
393,75
1934,77
915,79
166,78
1500,79
1739,77
2106,82
1763,81
208,75
417,79
64,81
955,81
1513,83
197,79
1909,81
281,82
937,80
2173,72
251,80
399,82
1742,73
1000,78
406,85
949,81
762,90
431,82
1890,79
2098,82
2066,82
278,80
1536,80
950,74
1883,75
1864,82
70,73
959,75
120,80
2031,82
1505,78
210,71
426,82
345,75
689,82
1495,83
896,72
1906,79
1501,82
1928,84
339,82
389,83
1499,83
960,74
763,81
1503,80
145,79
696,71
969,84
1607,73
238,81
1838,78
1731,72
721,70
137,76
452,83
1713,78
958,82
124,85
1735,85
702,76
1887,79
1005,80
962,82
1917,85
445,78
781,84
1895,74
440,84
1985,83
980,87
2228,81
2264,83
1043,83
1905,81
1738,81
2238,82
2250,78
2220,77
2217,84
2243,81
2306,74
1520,76
2294,75
2365,82
2245,80
2205,84
2352,71
681,79
2248,73
2204,81
2201,84
2081,84
2041,82
2222,79
2240,76
1942,81
2224,75
2249,76
2260,83
2215,84
2202,78
2244,76
1983,77
1744,85
2219,78
2343,72
2207,79
2218,76
2208,79
2261,74
954,77
2213,81
2198,83
1910,82
2254,86
2124,82
2230,77
2370,83
2214,82
893,78
2229,74
348,77
2369,77
2351,78
2200,84
1542,83
2056,85
2237,85
2210,79
2206,81
2257,84
1601,75
2223,83
1752,82
2203,80
2049,71
2212,84
2347,80
2357,74
2225,74
1762,80
2239,77
2211,83
2199,84
2349,82
2209,82
2226,73
2216,81
1442,84
2492,77
2405,82
2541,79
2411,81
1585,78
2430,81
2406,79
2418,78
2456,86
2423,80
2442,79
2404,82
2402,75
2424,72
2429,83
2484,77
2400,82
981,83
2436,75
2421,75
2410,74
1921,78
2462,81
2080,74
2452,74
2441,83
2457,73
2407,83
2398,74
2412,79
2422,78
2413,75
1038,79
2454,76
2416,78
2256,82
2437,80
1766,82
1938,78
2409,82
2060,79
2246,83
2408,82
2399,81
2366,70
1572,85
2403,83
2401,84
2469,83
2321,82
2453,78
2417,80
2446,79
2501,80
2425,83
2427,77
2415,80
2253,78
2470,76
2447,80
2419,81
2432,76
2428,79
2397,90
2682,75
1052,82
2564,80
2599,79
2567,81
2639,82
2546,79
2547,83
2549,84
2414,84
2563,78
2443,81
2545,84
2561,81
2724,79
2667,79
2548,76
1922,84
2673,81
2137,77
2592,80
2553,80
2574,80
2602,81
2668,80
2572,79
2079,80
2586,77
2693,74
2570,82
2550,76
2632,77
2594,79
2544,81
2571,75
2669,80
2557,74
2575,80
2573,83
2556,74
2605,78
2440,79
2679,78
2466,77
2552,80
2554,78
2590,73
2569,81
932,81
2241,73
1514,84
2221,72
2558,78
2499,77
2648,79
2562,79
1049,72
2582,89
2581,75
2551,72
2604,80
1765,80
2580,78
2566,81
2559,73
2617,79
2584,75
2560,83
2585,83
2744,82
1893,87
2760,83
2857,70
2765,77
2738,78
2740,84
2766,72
2852,78
2732,75
2757,75
2774,78
2873,77
2688,72
2568,78
2768,73
2451,81
2788,84
2863,78
2758,84
2753,75
2734,75
2764,79
2748,81
2730,82
2731,82
2367,75
2775,87
2798,73
2825,78
2747,78
2866,82
2761,82
2749,72
2839,81
2876,83
2823,84
1519,81
2735,80
2746,81
2770,80
2755,79
2745,78
2743,81
2763,72
2784,74
2739,79
2736,81
2435,85
2891,78
2588,82
2782,81
2486,74
2420,84
2555,82
2776,82
2750,89
2762,87
2624,78
2737,83
2741,85
2767,76
2756,79
2742,72
2733,79
2754,76
2800,76
2772,80
2657,69
101223,73
101187,78
101165,77
2637,76
101161,81
101154,83
101261,76
101106,84
101115,84
101219,75
101194,74
101120,79
101178,76
101238,84
101152,75
101138,80
101139,78
101112,84
101111,83
101108,72
101147,82
101236,78
101137,75
101122,81
101135,81
101184,81
101114,75
2583,75
101209,79
101159,80
101182,77
101204,83
2853,84
101188,77
101212,82
101177,82
101128,79
2809,75
101123,79
101124,81
101113,81
101189,80
101127,75
101131,79
101121,79
101130,84
101249,71
101181,75
2694,81
101125,79
101207,75
101160,81
101132,80
101150,74
101195,85
101129,75
101110,79
101149,86
101107,80
101190,78
2684,77
101145,75
101126,69
101230,81
101158,76
2450,81
101119,76
101185,79
